url,label,shannon_entropy,url_length,has_ip,target_brand
http://sbi-verify-login0.info/portal,phishing,4.54,36,0,sbi
http://sbi-verify-login1.com/auth,phishing,4.83,33,0,sbi
http://netflix-verify-login2.com/portal,phishing,3.88,39,0,netflix
http://netflix-verify-login3.tk/security-alert,phishing,4.23,46,0,netflix
http://29.55.244.136/google/auth,phishing,4.7,32,1,google
http://188.240.135.240/hdfc/verify,phishing,3.98,34,1,hdfc
http://zerodha-verify-login6.co/login,phishing,4.65,37,0,zerodha
http://104.234.218.186/amazon/verify,phishing,3.98,36,1,amazon
http://121.184.130.81/zerodha/portal,phishing,4.24,36,1,zerodha
http://17.101.193.43/amazon/login,phishing,4.13,33,1,amazon
http://43.137.202.71/microsoft/portal,phishing,3.8,37,1,microsoft
http://155.132.254.72/amazon/portal,phishing,4.37,35,1,amazon
http://paypal-verify-login12.xyz/webscr,phishing,4.76,39,0,paypal
http://netflix-verify-login13.info/verify,phishing,3.91,41,0,netflix
http://190.108.76.184/google/account-update,phishing,4.29,43,1,google
http://77.191.143.176/zerodha/login,phishing,3.91,35,1,zerodha
http://amazon-verify-login16.org/portal,phishing,3.97,39,0,amazon
http://microsoft-verify-login17.com/account-update,phishing,4.48,50,0,microsoft
http://google-verify-login18.info/security-alert,phishing,3.83,48,0,google
http://33.105.243.237/microsoft/login,phishing,4.39,37,1,microsoft
http://microsoft-verify-login20.in/portal,phishing,4.44,41,0,microsoft
http://icici-verify-login21.com/portal,phishing,4.53,38,0,icici
http://79.49.215.81/paypal/security-alert,phishing,4.69,41,1,paypal
http://100.5.186.221/paypal/account-update,phishing,4.88,42,1,paypal
http://icici-verify-login24.xyz/auth,phishing,3.91,36,0,icici
http://65.187.232.153/amazon/login,phishing,4.43,34,1,amazon
http://microsoft-verify-login26.net/security-alert,phishing,4.31,50,0,microsoft
http://115.169.132.148/microsoft/webscr,phishing,4.66,39,1,microsoft
http://115.192.23.191/paypal/security-alert,phishing,4.25,43,1,paypal
http://26.149.162.238/amazon/portal,phishing,3.9,35,1,amazon
http://google-verify-login30.info/verify,phishing,4.26,40,0,google
http://23.43.193.207/apple/auth,phishing,4.0,31,1,apple
http://apple-verify-login32.net/portal,phishing,4.8,38,0,apple
http://zerodha-verify-login33.com/auth,phishing,4.67,38,0,zerodha
http://159.118.101.86/netflix/portal,phishing,4.71,36,1,netflix
http://116.198.205.21/microsoft/portal,phishing,3.92,38,1,microsoft
http://sbi-verify-login36.com/security-alert,phishing,4.2,44,0,sbi
http://142.197.0.45/microsoft/security-alert,phishing,3.84,44,1,microsoft
http://126.224.233.209/amazon/webscr,phishing,4.01,36,1,amazon
http://netflix-verify-login39.com/webscr,phishing,4.38,40,0,netflix
http://google-verify-login40.org/webscr,phishing,4.71,39,0,google
http://129.11.114.62/google/account-update,phishing,4.37,42,1,google
http://paypal-verify-login42.tk/auth,phishing,4.66,36,0,paypal
http://sbi-verify-login43.net/webscr,phishing,4.76,36,0,sbi
http://microsoft-verify-login44.com/security-alert,phishing,4.6,50,0,microsoft
http://netflix-verify-login45.co/webscr,phishing,4.58,39,0,netflix
http://paypal-verify-login46.tk/auth,phishing,4.71,36,0,paypal
http://38.54.167.167/paypal/auth,phishing,4.05,32,1,paypal
http://152.222.146.161/netflix/verify,phishing,4.25,37,1,netflix
http://zerodha-verify-login49.info/login,phishing,4.08,40,0,zerodha
http://88.222.91.106/paypal/login,phishing,4.39,33,1,paypal
http://174.173.134.108/zerodha/auth,phishing,4.03,35,1,zerodha
http://86.95.210.232/icici/verify,phishing,4.65,33,1,icici
http://124.212.103.204/paypal/auth,phishing,4.48,34,1,paypal
http://43.9.9.225/hdfc/verify,phishing,4.82,29,1,hdfc
http://google-verify-login55.info/login,phishing,4.51,39,0,google
http://google-verify-login56.co/portal,phishing,4.23,38,0,google
http://zerodha-verify-login57.co/verify,phishing,4.76,39,0,zerodha
http://google-verify-login58.xyz/portal,phishing,4.61,39,0,google
http://164.146.234.13/icici/portal,phishing,4.27,34,1,icici
http://127.27.76.157/microsoft/webscr,phishing,4.26,37,1,microsoft
http://netflix-verify-login61.com/security-alert,phishing,4.76,48,0,netflix
http://amazon-verify-login62.tk/webscr,phishing,4.52,38,0,amazon
